,id,main,description,icon,base,visibility,dt,timezone,name,cod,coord_lon,coord_lat,main_temp,main_feels_like,main_temp_min,main_temp_max,main_pressure,main_humidity,main_sea_level,main_grnd_level,wind_speed,wind_deg,wind_gust,clouds_all,sys_country,sys_sunrise,sys_sunset,sys_type,sys_id,date_time
40,711,Smoke,smoke,50d,stations,5000,1719041201,19800,Ahmedabad,200,72.5871,23.0276,35.01,40.31,35.01,35.01,1000,49,0,0,3.09,260,0.0,75,IN,1719015909,1719064687,1,9049,2024-06-22 07:26:41
41,802,Clouds,scattered clouds,03d,stations,10000,1719041716,19800,Bhavnagar,200,72.1525,21.7745,35.23,41.64,35.23,35.23,999,51,999,997,3.87,140,4.47,46,IN,1719016171,1719064633,0,0,2024-06-22 07:35:16
42,800,Clear,clear sky,01d,stations,10000,1719041716,19800,Bhuj,200,69.6693,23.254,38.66,41.0,38.66,38.66,999,31,999,987,4.13,239,2.83,2,IN,1719016581,1719065416,0,0,2024-06-22 07:35:16
43,711,Smoke,smoke,50d,stations,5000,1719041422,19800,Gandhinagar,200,72.6833,23.2167,34.99,40.27,34.99,34.99,1000,49,0,0,3.09,260,0.0,75,IN,1719015862,1719064688,1,9049,2024-06-22 07:30:22
44,802,Clouds,scattered clouds,03d,stations,10000,1719041717,19800,Gandevi,200,72.9167,20.85,34.94,41.94,34.94,34.94,1000,57,1000,999,4.3,238,4.62,26,IN,1719016102,1719064336,1,9071,2024-06-22 07:35:17
45,802,Clouds,scattered clouds,03d,stations,6000,1719041717,19800,Porbandar,200,69.6009,21.6413,33.97,40.97,33.97,33.97,1001,62,0,0,6.69,280,0.0,40,IN,1719016800,1719065229,1,9070,2024-06-22 07:35:17
46,804,Clouds,overcast clouds,04d,stations,10000,1719041717,19800,Rajkot,200,70.7932,22.2916,38.11,40.72,38.11,38.11,999,33,999,984,4.25,251,3.29,96,IN,1719016433,1719065024,0,0,2024-06-22 07:35:17
47,711,Smoke,smoke,50d,stations,5000,1719041718,19800,Surat,200,72.8302,21.1959,34.9,40.06,34.9,34.9,1000,49,0,0,3.6,240,0.0,40,IN,1719016080,1719064399,1,9071,2024-06-22 07:35:18
48,802,Clouds,scattered clouds,03d,stations,6000,1719041718,19800,Vadodara,200,73.2081,22.2994,35.96,41.33,35.96,35.96,999,46,0,0,5.14,210,0.0,40,IN,1719015852,1719064446,1,9060,2024-06-22 07:35:18
49,803,Clouds,broken clouds,04d,stations,10000,1719041718,19800,Ambala,200,76.7978,30.361,40.96,41.13,40.96,40.96,997,21,997,968,3.7,244,3.3,66,IN,1719013896,1719064679,0,0,2024-06-22 07:35:18
50,800,Clear,clear sky,01d,stations,10000,1719041510,19800,Bhiwani,200,76.14,28.7923,40.45,40.36,40.45,40.45,997,21,997,974,2.86,348,2.99,6,IN,1719014282,1719064609,0,0,2024-06-22 07:31:50
51,801,Clouds,few clouds,02d,stations,10000,1719041719,19800,Faridabad,200,77.3132,28.4112,35.16,33.35,35.16,35.16,997,21,997,975,2.66,322,2.37,11,IN,1719014054,1719064273,1,9165,2024-06-22 07:35:19
52,721,Haze,haze,50d,stations,3000,1719041525,19800,Gurgaon,200,77.0293,28.457,37.0,39.7,37.0,37.0,1001,36,0,0,1.54,10,0.0,75,IN,1719014116,1719064348,1,9165,2024-06-22 07:32:05
53,800,Clear,clear sky,01d,stations,10000,1719041719,19800,Hisar,200,75.7229,29.1539,40.43,39.99,40.43,40.43,998,20,998,975,3.22,348,3.63,2,IN,1719014330,1719064761,0,0,2024-06-22 07:35:19
54,803,Clouds,broken clouds,04d,stations,10000,1719041582,19800,Karnal,200,76.9845,29.692,39.45,40.18,39.45,39.45,997,25,997,970,2.19,240,2.25,73,IN,1719013949,1719064536,0,0,2024-06-22 07:33:02
55,802,Clouds,scattered clouds,03d,stations,10000,1719041719,19800,Chandigarh,200,76.8537,30.6915,41.06,40.91,41.06,41.06,997,20,997,962,4.3,235,3.86,47,IN,1719013834,1719064714,0,0,2024-06-22 07:35:19
56,803,Clouds,broken clouds,04d,stations,10000,1719041260,19800,Panipat,200,76.9669,29.3885,38.83,39.84,38.83,38.83,998,27,998,973,2.61,287,1.95,61,IN,1719013998,1719064496,0,0,2024-06-22 07:27:40
57,803,Clouds,broken clouds,04d,stations,10000,1719041195,19800,Rohtak,200,76.5881,28.8942,39.3,39.93,39.3,39.3,998,25,998,975,2.27,309,2.39,68,IN,1719014160,1719064516,0,0,2024-06-22 07:26:35
58,800,Clear,clear sky,01d,stations,10000,1719041720,19800,Sirsa,200,75.029,29.5349,40.43,39.99,40.43,40.43,998,20,998,976,3.18,314,3.09,0,IN,1719014442,1719064982,0,0,2024-06-22 07:35:20
59,800,Clear,clear sky,01d,stations,10000,1719041583,19800,Sonipat,200,77.0194,28.9948,36.98,35.56,36.98,36.98,997,21,997,972,3.54,290,3.11,7,IN,1719014042,1719064427,1,9165,2024-06-22 07:33:03
60,801,Clouds,few clouds,02d,stations,10000,1719040946,19800,Shimla,200,77.171,31.1042,27.84,26.9,27.84,27.84,1001,28,1001,790,3.3,245,4.09,14,IN,1719013696,1719064700,0,0,2024-06-22 07:22:26
